country,family,field_months,harvest_reference,last_verified_at,name_ar,name_en,note,nursery_months,production_allowed,review_status,slug,source_id
AE,Cruciferae,"['Feb', 'Mar', 'Sep', 'Oct', 'Nov', 'Dec']",45 days,2026-09-12,جرجير,Arugula,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,,True,verified,arugula,UAE_MOCCAE_PLANTING_CALENDAR
AE,Cruciferae,"['Nov', 'Dec']",40-50 days,2026-09-12,فجل,Radish,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,"['Oct', 'Nov']",True,verified,radish,UAE_MOCCAE_PLANTING_CALENDAR
AE,Cruciferae,"['Nov', 'Dec']",45-50 days,2026-09-12,لفت,Turnip,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,"['Oct', 'Nov']",True,verified,turnip,UAE_MOCCAE_PLANTING_CALENDAR
AE,Cruciferae,"['Oct', 'Nov', 'Dec']",70-90 days,2026-09-12,قرنبيط,Cauliflower,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,"['Sep', 'Oct', 'Nov', 'Dec']",True,verified,cauliflower,UAE_MOCCAE_PLANTING_CALENDAR
AE,Cruciferae,"['Oct', 'Nov', 'Dec']",70-80 days,2026-09-12,ملفوف,Cabbage,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,"['Sep', 'Oct', 'Nov', 'Dec']",True,verified,cabbage,UAE_MOCCAE_PLANTING_CALENDAR
AE,Legumes,"['Oct', 'Nov', 'Dec']",80 days,2026-09-12,بازلاء,Peas,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,"['Oct', 'Nov']",True,verified,peas,UAE_MOCCAE_PLANTING_CALENDAR
AE,Legumes,"['Sep', 'Oct', 'Nov']",50-60 days,2026-09-12,لوبيا,Cowpea,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,"['Aug', 'Sep', 'Oct']",True,verified,cowpea,UAE_MOCCAE_PLANTING_CALENDAR
AE,Legumes,,80-90 days,2026-09-12,فول,Broad Beans,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,"['Sep', 'Oct']",True,verified,broad-beans,UAE_MOCCAE_PLANTING_CALENDAR
AE,Cucurbits,"['Mar', 'Apr', 'Sep', 'Oct', 'Nov']",180 days,2026-09-12,قرع,Pumpkin,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,"['Feb', 'Mar', 'Sep', 'Oct']",True,verified,pumpkin,UAE_MOCCAE_PLANTING_CALENDAR
AE,Cucurbits,"['Mar', 'Sep', 'Oct']",40 days,2026-09-12,قثاء,Armenian Cucumber,Use as UAE seasonal guidance; exact cultivar and protected-production schedules may differ.,"['Feb', 'Sep']",True,verified,armenian-cucumber,UAE_MOCCAE_PLANTING_CALENDAR
