authority_level,country,id,language,legal_review_note,license,license_note,note,organization,production_allowed,retrieved_at,source_type,title,url
federal,AE,UAE_MOCCAE_PLANTING_CALENDAR,en,,,Official public government publication; retain attribution and source URL.,,UAE Ministry of Climate Change and Environment (MOCCAE),True,2026-09-12,official_government,Dates for Planting Vegetables & Fruits in the United Arab Emirates,https://www.moccae.gov.ae/Content/Images/School/agriculture_calender_page_en.pdf
federal,AE,UAE_MOCCAE_VEGETABLE_GUIDE_EN,en,,,Official public government publication; retain attribution and source URL.,,UAE Ministry of Climate Change and Environment (MOCCAE),True,2026-09-12,official_government,Vegetables gardening guide / Simplified Guide to Growing Vegetables,https://www.moccae.gov.ae/Content/Images/School/simplified_guide_to_growing_vegetables_en.pdf
federal,AE,UAE_MOCCAE_VEGETABLE_GUIDE_AR,ar,,,Official public government publication; retain attribution and source URL.,,UAE Ministry of Climate Change and Environment (MOCCAE),True,2026-09-12,official_government,الدليل المبسط لزراعة الخضروات,https://www.moccae.gov.ae/Content/Images/School/simplified_guide_to_growing_vegetables_ar.pdf
federal,AE,UAE_LAW_AGRI_QUARANTINE_2025,en,,,,,UAE Legislation / Cabinet General Secretariat,True,2026-09-12,official_government,Federal Law No. 7 of 2025 Regarding Agricultural Quarantine,https://uaelegislation.gov.ae/en/legislations/3995
federal,AE,UAE_LAW_PESTICIDES_2020,en,,,,,UAE Legislation / Cabinet General Secretariat,True,2026-09-12,official_government,Federal Law No. 10 of 2020 Regarding Pesticides,https://uaelegislation.gov.ae/en/legislations/1463
federal,AE,UAE_LAW_FERTILIZERS_1992,en,,,,,UAE Legislation / Cabinet General Secretariat,True,2026-09-12,official_government,"Federal Law No. 39 of 1992 Regarding Production, Importation and Circulation of Fertilizers and Agricultural Conditioners",https://uaelegislation.gov.ae/en/legislations/1142
federal,AE,UAE_REG_PESTICIDES_2001,ar,Legacy regulation; check interaction with newer Federal Law No. 10 of 2020 before presenting as current operative requirement.,,,,UAE Legislation / Cabinet General Secretariat,True,2026-09-12,official_government,"Cabinet Resolution No. 37 of 2001 - Pesticides, Agricultural Conditioners and Fertilizers System",https://uaelegislation.gov.ae/ar/legislations/1154
federal,AE,UAE_MOCCAE_IMPORT_AGRI_CONSIGNMENT,ar,,,,,UAE Ministry of Climate Change and Environment (MOCCAE),True,2026-09-12,official_government_service,Import Agricultural Consignment,https://www.moccae.gov.ae/ar/services/import-permit
federal,AE,UAE_MOCCAE_AGRI_EXTENSION,ar,,,,,UAE Ministry of Climate Change and Environment (MOCCAE),True,2026-09-12,official_government_service,Agricultural Extension Request,https://www.moccae.gov.ae/ar/services/agricultural-extension
federal,AE,UAE_MOCCAE_HOLDING_REG,ar,,,,,UAE Ministry of Climate Change and Environment (MOCCAE),True,2026-09-12,official_government_service,Agricultural Holding Registration,https://www.moccae.gov.ae/ar/services/issuance-of-agricultural-card
